rel_path,input_bytes,tokens,elapsed_s,output_path,output_bytes
data-00000-of-00080.arrow,498140816,128436320,353.1335910973139,/mnt/nvme/openweb_bin/data-00000-of-00080.arrow.bin,513745280
data-00001-of-00080.arrow,502266296,129563403,346.27036406937987,/mnt/nvme/openweb_bin/data-00001-of-00080.arrow.bin,518253612
data-00002-of-00080.arrow,500341664,129321823,358.1784151564352,/mnt/nvme/openweb_bin/data-00002-of-00080.arrow.bin,517287292
data-00003-of-00080.arrow,500501920,129110169,357.7146433549933,/mnt/nvme/openweb_bin/data-00003-of-00080.arrow.bin,516440676
data-00004-of-00080.arrow,494620208,127722188,355.7373168258928,/mnt/nvme/openweb_bin/data-00004-of-00080.arrow.bin,510888752
data-00005-of-00080.arrow,495823920,127917651,339.84351511020213,/mnt/nvme/openweb_bin/data-00005-of-00080.arrow.bin,511670604
data-00006-of-00080.arrow,499819840,129083402,374.00753907021135,/mnt/nvme/openweb_bin/data-00006-of-00080.arrow.bin,516333608
data-00007-of-00080.arrow,493248472,127163680,360.386086915154,/mnt/nvme/openweb_bin/data-00007-of-00080.arrow.bin,508654720
data-00008-of-00080.arrow,497316720,128368609,349.7228726390749,/mnt/nvme/openweb_bin/data-00008-of-00080.arrow.bin,513474436
data-00009-of-00080.arrow,497505616,128375501,339.0936318519525,/mnt/nvme/openweb_bin/data-00009-of-00080.arrow.bin,513502004
data-00010-of-00080.arrow,496781584,128040600,341.48876792378724,/mnt/nvme/openweb_bin/data-00010-of-00080.arrow.bin,512162400
data-00011-of-00080.arrow,498339480,128465993,323.7957294168882,/mnt/nvme/openweb_bin/data-00011-of-00080.arrow.bin,513863972
data-00012-of-00080.arrow,496777576,128109174,344.46420006779954,/mnt/nvme/openweb_bin/data-00012-of-00080.arrow.bin,512436696
data-00013-of-00080.arrow,495452656,127978511,339.3004922643304,/mnt/nvme/openweb_bin/data-00013-of-00080.arrow.bin,511914044
data-00014-of-00080.arrow,499768736,128957047,328.43100958829746,/mnt/nvme/openweb_bin/data-00014-of-00080.arrow.bin,515828188
data-00015-of-00080.arrow,498498600,128536589,351.3496726779267,/mnt/nvme/openweb_bin/data-00015-of-00080.arrow.bin,514146356
data-00016-of-00080.arrow,500181288,129030600,343.7722287811339,/mnt/nvme/openweb_bin/data-00016-of-00080.arrow.bin,516122400
data-00017-of-00080.arrow,495311760,127737492,316.49461420765147,/mnt/nvme/openweb_bin/data-00017-of-00080.arrow.bin,510949968
data-00018-of-00080.arrow,495080232,127611659,336.3136435970664,/mnt/nvme/openweb_bin/data-00018-of-00080.arrow.bin,510446636
data-00019-of-00080.arrow,495645128,127621040,334.20247523114085,/mnt/nvme/openweb_bin/data-00019-of-00080.arrow.bin,510484160
data-00020-of-00080.arrow,499684288,129106676,355.57032343605533,/mnt/nvme/openweb_bin/data-00020-of-00080.arrow.bin,516426704
data-00021-of-00080.arrow,498986840,128781708,337.24843881325796,/mnt/nvme/openweb_bin/data-00021-of-00080.arrow.bin,515126832
data-00022-of-00080.arrow,500523936,129001259,353.3653291389346,/mnt/nvme/openweb_bin/data-00022-of-00080.arrow.bin,516005036
data-00023-of-00080.arrow,502532744,129661681,353.01293232804164,/mnt/nvme/openweb_bin/data-00023-of-00080.arrow.bin,518646724
data-00024-of-00080.arrow,493566720,127532633,328.9923759959638,/mnt/nvme/openweb_bin/data-00024-of-00080.arrow.bin,510130532
data-00025-of-00080.arrow,499009848,129049766,342.5190384197049,/mnt/nvme/openweb_bin/data-00025-of-00080.arrow.bin,516199064
data-00026-of-00080.arrow,494028816,127539883,342.18111401004717,/mnt/nvme/openweb_bin/data-00026-of-00080.arrow.bin,510159532
data-00027-of-00080.arrow,495429488,128058817,329.0572261060588,/mnt/nvme/openweb_bin/data-00027-of-00080.arrow.bin,512235268
