# mpstat start 2026-03-10T12:48:47
Linux 6.8.0-100-generic (oslab-nude1) 	03/10/2026 	_x86_64_	(12 CPU)

12:48:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:48:48 PM  all    8.81    0.00    8.56    0.17    0.00    0.00    0.00    0.00    0.00   82.46
12:48:48 PM    0    9.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
12:48:48 PM    1   12.00    0.00   12.00    2.00    0.00    0.00    0.00    0.00    0.00   74.00
12:48:48 PM    2    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
12:48:48 PM    3    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
12:48:48 PM    4    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
12:48:48 PM    5    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
12:48:48 PM    6    8.91    0.00   67.33    0.00    0.00    0.00    0.00    0.00    0.00   23.76
12:48:48 PM    7    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
12:48:48 PM    8    8.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
12:48:48 PM    9    8.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
12:48:48 PM   10    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
12:48:48 PM   11    8.91    0.00   14.85    0.00    0.00    0.00    0.00    0.00    0.00   76.24

12:48:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:48:49 PM  all    0.08    0.00    8.85    0.00    0.00    0.00    0.00    0.00    0.00   91.07
12:48:49 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM    1    0.00    0.00   88.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
12:48:49 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM    4    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:48:49 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM    6    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:48:49 PM    7    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   91.92
12:48:49 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:48:49 PM   11    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    4.46    0.00    8.70    0.08    0.00    0.00    0.00    0.00    0.00   86.76
Average:       0    4.50    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.50
Average:       1    6.00    0.00   50.00    1.00    0.00    0.00    0.00    0.00    0.00   43.00
Average:       2    4.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.98
Average:       3    4.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.50
Average:       4    4.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.52
Average:       5    4.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.52
Average:       6    4.48    0.00   35.82    0.00    0.00    0.00    0.00    0.00    0.00   59.70
Average:       7    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91
Average:       8    4.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.50
Average:       9    4.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.50
Average:      10    4.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.52
Average:      11    4.50    0.00   10.50    0.00    0.00    0.00    0.00    0.00    0.00   85.00
